metric	source	count	note
Protein groups	ProCan-DepMapSanger 2022 (paper headline)	8498	8,498 proteins quantified at Global.Q.Value <= 0.01 (paper, Results)
Protein groups (>=2 peptides)	ProCan-DepMapSanger 2022 (stringent)	6692	6,692 proteins with >=2 supporting peptides (paper, Results)
Protein groups	quantmsdiann (DIA-NN, 1% FDR)	9370	from diannsummary.log (Protein groups with global q-value <= 0.01)
Protein groups (>=2 peptides)	quantmsdiann (DIA-NN, 1% FDR)	8149	>=2 unique Stripped.Sequence per Protein.Group (proteotypic) in pr_matrix.tsv
Precursors	quantmsdiann (DIA-NN, 1% FDR)	153644	from diannsummary.log (Target precursors at 1% global q-value)
Spectral library precursors	ProCan-DepMapSanger 2022	144578	library size (paper, STAR Methods); NOT identified precursors
Spectral library proteins	ProCan-DepMapSanger 2022	12487	library protein count (paper, STAR Methods)
MS runs	ProCan-DepMapSanger 2022	6864	paper headline (PRIDE archive lists 6,981)
Per-tissue proteins | Lung	ProCan-DepMapSanger 2022 (per-replicate)	8419	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Lung	quantmsdiann (DIA-NN, 1% FDR)	8801	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Haematopoietic and Lymphoid	ProCan-DepMapSanger 2022 (per-replicate)	8308	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Haematopoietic and Lymphoid	quantmsdiann (DIA-NN, 1% FDR)	8479	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Breast	ProCan-DepMapSanger 2022 (per-replicate)	8159	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Breast	quantmsdiann (DIA-NN, 1% FDR)	8204	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Large Intestine	ProCan-DepMapSanger 2022 (per-replicate)	8088	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Large Intestine	quantmsdiann (DIA-NN, 1% FDR)	7972	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Skin	ProCan-DepMapSanger 2022 (per-replicate)	8096	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Skin	quantmsdiann (DIA-NN, 1% FDR)	7949	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Stomach	ProCan-DepMapSanger 2022 (per-replicate)	8057	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Stomach	quantmsdiann (DIA-NN, 1% FDR)	7968	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Ovary	ProCan-DepMapSanger 2022 (per-replicate)	8083	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Ovary	quantmsdiann (DIA-NN, 1% FDR)	7900	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Bone	ProCan-DepMapSanger 2022 (per-replicate)	8062	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Bone	quantmsdiann (DIA-NN, 1% FDR)	7855	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Central Nervous System	ProCan-DepMapSanger 2022 (per-replicate)	8055	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Central Nervous System	quantmsdiann (DIA-NN, 1% FDR)	7860	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Esophagus	ProCan-DepMapSanger 2022 (per-replicate)	8005	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Esophagus	quantmsdiann (DIA-NN, 1% FDR)	7796	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Head and Neck	ProCan-DepMapSanger 2022 (per-replicate)	7928	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Head and Neck	quantmsdiann (DIA-NN, 1% FDR)	7638	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Peripheral Nervous System	ProCan-DepMapSanger 2022 (per-replicate)	7906	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Peripheral Nervous System	quantmsdiann (DIA-NN, 1% FDR)	7654	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Pancreas	ProCan-DepMapSanger 2022 (per-replicate)	7917	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Pancreas	quantmsdiann (DIA-NN, 1% FDR)	7641	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Soft Tissue	ProCan-DepMapSanger 2022 (per-replicate)	7864	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Soft Tissue	quantmsdiann (DIA-NN, 1% FDR)	7528	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Kidney	ProCan-DepMapSanger 2022 (per-replicate)	7818	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Kidney	quantmsdiann (DIA-NN, 1% FDR)	7430	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Liver	ProCan-DepMapSanger 2022 (per-replicate)	7740	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Liver	quantmsdiann (DIA-NN, 1% FDR)	7436	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Thyroid	ProCan-DepMapSanger 2022 (per-replicate)	7730	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Thyroid	quantmsdiann (DIA-NN, 1% FDR)	7278	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Cervix	ProCan-DepMapSanger 2022 (per-replicate)	7697	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Cervix	quantmsdiann (DIA-NN, 1% FDR)	7309	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Bladder	ProCan-DepMapSanger 2022 (per-replicate)	7686	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Bladder	quantmsdiann (DIA-NN, 1% FDR)	7272	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Endometrium	ProCan-DepMapSanger 2022 (per-replicate)	7652	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Endometrium	quantmsdiann (DIA-NN, 1% FDR)	7284	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Prostate	ProCan-DepMapSanger 2022 (per-replicate)	7484	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Prostate	quantmsdiann (DIA-NN, 1% FDR)	7003	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Other tissue	ProCan-DepMapSanger 2022 (per-replicate)	6953	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Other tissue	quantmsdiann (DIA-NN, 1% FDR)	6361	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Biliary Tract	ProCan-DepMapSanger 2022 (per-replicate)	6712	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Biliary Tract	quantmsdiann (DIA-NN, 1% FDR)	6117	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Testis	ProCan-DepMapSanger 2022 (per-replicate)	6654	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Testis	quantmsdiann (DIA-NN, 1% FDR)	5891	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Vulva	ProCan-DepMapSanger 2022 (per-replicate)	6158	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Vulva	quantmsdiann (DIA-NN, 1% FDR)	5550	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Placenta	ProCan-DepMapSanger 2022 (per-replicate)	5523	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Placenta	quantmsdiann (DIA-NN, 1% FDR)	4965	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Small Intestine	ProCan-DepMapSanger 2022 (per-replicate)	5336	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
Per-tissue proteins | Small Intestine	quantmsdiann (DIA-NN, 1% FDR)	4935	per-run union over pr_matrix.tsv at 1% precursor + 1% PG FDR per cell (DIA-NN's strictest per-cell filter)
Per-tissue proteins | Adrenal Gland	ProCan-DepMapSanger 2022 (per-replicate)	4947	per-MS-run union over protein_matrix_8498_replicates.txt (HEK293T QC runs excluded); reflects ProCan's global 1% Global.Q.Value filtering, NOT per-cell strict identification
